ID,模块,优先级,功能标题,状态
REX-0001,"Rialo链上集成",P0,"Rialo RPC连接",待开发
REX-0002,"Rialo链上集成",P0,"Vault合约部署",待开发
REX-0003,"Rialo链上集成",P0,"REX规则上链",待开发
REX-0004,"Rialo链上集成",P0,"Reactive注册",待开发
REX-0005,"Rialo链上集成",P0,"Native HTTP配置",待开发
REX-0006,"Rialo链上集成",P0,"状态机同步",待开发
REX-0007,"Rialo链上集成",P0,"交易签名",待开发
REX-0008,"Rialo链上集成",P0,"Gas估算",待开发
REX-0009,"Rialo链上集成",P0,"测试网切换",待开发
REX-0010,"Rialo链上集成",P0,"主网切换",待开发
REX-0011,"Rialo链上集成",P0,"WS事件监听",待开发
REX-0012,"Rialo链上集成",P0,"Created事件",待开发
REX-0013,"Rialo链上集成",P0,"Triggered事件",待开发
REX-0014,"Rialo链上集成",P0,"Opened事件",待开发
REX-0015,"Rialo链上集成",P0,"Minted事件",待开发
REX-0016,"Rialo链上集成",P0,"Nonce重试",待开发
REX-0017,"Rialo链上集成",P0,"失败提示",待开发
REX-0018,"Rialo链上集成",P0,"ABI生成",待开发
REX-0019,"Rialo链上集成",P0,"合约单测",待开发
REX-0020,"Rialo链上集成",P0,"Proxy升级",待开发
REX-0021,"Rialo链上集成",P0,"多签管理",待开发
REX-0022,"Rialo链上集成",P0,"紧急暂停",待开发
REX-0023,"Rialo链上集成",P0,"Indexer",待开发
REX-0024,"Rialo链上集成",P0,"Subgraph",待开发
REX-0025,"Rialo链上集成",P0,"区块回填",待开发
REX-0026,"Rialo链上集成",P0,"链上缓存",待开发
REX-0027,"Rialo链上集成",P0,"WC链切换",待开发
REX-0028,"Rialo链上集成",P0,"SDK Hook",待开发
REX-0029,"Rialo链上集成",P0,"Rialo RPC连接 #2",待开发
REX-0030,"Rialo链上集成",P0,"Vault合约部署 #2",待开发
REX-0031,"Rialo链上集成",P0,"REX规则上链 #2",待开发
REX-0032,"Rialo链上集成",P0,"Reactive注册 #2",待开发
REX-0033,"Rialo链上集成",P0,"Native HTTP配置 #2",待开发
REX-0034,"Rialo链上集成",P0,"状态机同步 #2",待开发
REX-0035,"Rialo链上集成",P0,"交易签名 #2",待开发
REX-0036,"Rialo链上集成",P0,"Gas估算 #2",待开发
REX-0037,"Rialo链上集成",P0,"测试网切换 #2",待开发
REX-0038,"Rialo链上集成",P0,"主网切换 #2",待开发
REX-0039,"Rialo链上集成",P0,"WS事件监听 #2",待开发
REX-0040,"Rialo链上集成",P0,"Created事件 #2",待开发
REX-0041,"Rialo链上集成",P0,"Triggered事件 #2",待开发
REX-0042,"Rialo链上集成",P0,"Opened事件 #2",待开发
REX-0043,"Rialo链上集成",P0,"Minted事件 #2",待开发
REX-0044,"Rialo链上集成",P0,"Nonce重试 #2",待开发
REX-0045,"Rialo链上集成",P0,"失败提示 #2",待开发
REX-0046,"Rialo链上集成",P0,"ABI生成 #2",待开发
REX-0047,"Rialo链上集成",P0,"合约单测 #2",待开发
REX-0048,"Rialo链上集成",P0,"Proxy升级 #2",待开发
REX-0049,"Rialo链上集成",P0,"多签管理 #2",待开发
REX-0050,"Rialo链上集成",P0,"紧急暂停 #2",待开发
REX-0051,"Rialo链上集成",P0,"Indexer #2",待开发
REX-0052,"Rialo链上集成",P0,"Subgraph #2",待开发
REX-0053,"Rialo链上集成",P0,"区块回填 #2",待开发
REX-0054,"Rialo链上集成",P0,"链上缓存 #2",待开发
REX-0055,"Rialo链上集成",P0,"WC链切换 #2",待开发
REX-0056,"Rialo链上集成",P0,"SDK Hook #2",待开发
REX-0057,"Rialo链上集成",P0,"Rialo RPC连接 #3",待开发
REX-0058,"Rialo链上集成",P0,"Vault合约部署 #3",待开发
REX-0059,"Rialo链上集成",P0,"REX规则上链 #3",待开发
REX-0060,"Rialo链上集成",P0,"Reactive注册 #3",待开发
REX-0061,"Rialo链上集成",P0,"Native HTTP配置 #3",待开发
REX-0062,"Rialo链上集成",P0,"状态机同步 #3",待开发
REX-0063,"Rialo链上集成",P0,"交易签名 #3",待开发
REX-0064,"Rialo链上集成",P0,"Gas估算 #3",待开发
REX-0065,"Rialo链上集成",P0,"测试网切换 #3",待开发
REX-0066,"Rialo链上集成",P0,"主网切换 #3",待开发
REX-0067,"Rialo链上集成",P0,"WS事件监听 #3",待开发
REX-0068,"Rialo链上集成",P0,"Created事件 #3",待开发
REX-0069,"Rialo链上集成",P0,"Triggered事件 #3",待开发
REX-0070,"Rialo链上集成",P0,"Opened事件 #3",待开发
REX-0071,"Rialo链上集成",P0,"Minted事件 #3",待开发
REX-0072,"Rialo链上集成",P0,"Nonce重试 #3",待开发
REX-0073,"Rialo链上集成",P0,"失败提示 #3",待开发
REX-0074,"Rialo链上集成",P0,"ABI生成 #3",待开发
REX-0075,"Rialo链上集成",P0,"合约单测 #3",待开发
REX-0076,"Rialo链上集成",P0,"Proxy升级 #3",待开发
REX-0077,"Rialo链上集成",P0,"多签管理 #3",待开发
REX-0078,"Rialo链上集成",P0,"紧急暂停 #3",待开发
REX-0079,"Rialo链上集成",P0,"Indexer #3",待开发
REX-0080,"Rialo链上集成",P0,"Subgraph #3",待开发
REX-0081,"环境数据Oracle",P0,"Open-Meteo hardened",待开发
REX-0082,"环境数据Oracle",P0,"OpenAQ v3",待开发
REX-0083,"环境数据Oracle",P0,"NOAA API",待开发
REX-0084,"环境数据Oracle",P0,"WMO源",待开发
REX-0085,"环境数据Oracle",P0,"AQI聚合",待开发
REX-0086,"环境数据Oracle",P0,"PM2.5标准",待开发
REX-0087,"环境数据Oracle",P0,"Freshness检测",待开发
REX-0088,"环境数据Oracle",P0,"Stale拒绝",待开发
REX-0089,"环境数据Oracle",P0,"Geo缓存",待开发
REX-0090,"环境数据Oracle",P0,"城市别名",待开发
REX-0091,"环境数据Oracle",P0,"Rate退避",待开发
REX-0092,"环境数据Oracle",P0,"Key轮换",待开发
REX-0093,"环境数据Oracle",P0,"健康Cron",待开发
